Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Word_Count,Opportunity_Score
dr vishnu gupta,INR,1900,0%,233%,Low,4.0,15.77,30.58,,,,,,1300,1600,720,720,880,2400,2400,2400,2900,2400,1900,2400,3,380.0
best cardiovascular surgeon in india,INR,1900,-16%,-16%,Low,7.0,14.96,49.79,,,,,,2400,1900,2400,2400,1900,1900,2400,2400,1900,1900,1600,1600,5,237.5
dr balbir singh,INR,1900,-16%,0%,Low,7.0,8.99,29.25,,,,,,1600,1600,1900,1600,1900,1900,2400,2400,2400,1900,1600,1600,3,237.5
balbir singh doctor,INR,1900,-16%,0%,Low,7.0,8.99,29.25,,,,,,1600,1600,1900,1600,1900,1900,2400,2400,2400,1900,1600,1600,3,237.5
balbir singh dr,INR,1900,-16%,0%,Low,7.0,8.99,29.25,,,,,,1600,1600,1900,1600,1900,1900,2400,2400,2400,1900,1600,1600,3,237.5
indian best heart surgeon,INR,1900,-16%,-16%,Low,7.0,14.96,49.79,,,,,,2400,1900,2400,2400,1900,1900,2400,2400,1900,1900,1600,1600,4,237.5
best nefrologist in india,INR,1900,-16%,-16%,Low,23.0,14.23,35.65,,,,,,1900,1900,2400,1900,2400,1900,2400,2400,2400,1900,1600,1600,4,79.16666666666667
delhi best hospital for heart,INR,1900,0%,-16%,Low,29.0,20.99,162.77,,,,,,2400,1900,2400,2400,1900,1900,2400,2400,1900,1600,1600,1600,5,63.333333333333336
biggest hospitals in delhi,INR,1600,0%,-19%,Low,4.0,9.68,40.64,,,,,,1600,1600,1600,1600,1600,1600,1600,1600,1600,1300,1300,1300,4,320.0
max hospital doctor list,INR,1600,-47%,-23%,Low,5.0,8.06,58.78,,,,,,1300,1600,1900,1600,1600,1900,2400,1900,1900,1900,1300,1000,4,266.6666666666667
